id	名称	仓库金币容量	粮食	木材	石料	仓库保护容量		产出资源类型	资源产出量，每小时	资源点存储上限		军营士兵容量	军营士兵产量，每小时	军营强征士兵数	新兵产量，每小时	新兵最大容量	伤兵容量	增加招募的士兵数量		远程兵种加的属性	近战兵种加的属性		兵种	兵种	兵种	兵种属性	士兵负载	给所有兵种加的属性		修炼馆产出基数，每小时	修炼馆容量基数	修炼馆每小时产出经验	修炼馆加成系数		减少建筑cd，填0.1表示减少10%的cd	减少科技cd，填0.1表示减少10%的cd	建筑队疲劳时间	科技队疲劳时间		行营繁荣度上限	行营抢修值上限		主城城墙固定伤害	主城城墙属性	行营城墙固定伤害	行营城墙属性		求助减少CD	求助最大被帮助次数	联盟捐献次数		农场产出资源类型	农场产出加成，千分比		官府税收，金币	粮食	木材	石料		驻守附加属性	协防附加属性	镜像驻守附加属性		建筑消耗减少	科技消耗减少		建筑	科技	修炼	农铜	农石	税铜	税石	
10042022	车兵防御22																						Che			10042022																																																
10042023	车兵防御23																						Che			10042023																																																
10042024	车兵防御24																						Che			10042024																																																
10042025	车兵防御25																						Che			10042025																																																
																																																																										
10043001	车兵体力1																						Che			10043001																																																
10043002	车兵体力2																						Che			10043002																																																
10043003	车兵体力3																						Che			10043003																																																
10043004	车兵体力4																						Che			10043004																																																
10043005	车兵体力5																						Che			10043005																																																
10043006	车兵体力6																						Che			10043006																																																
10043007	车兵体力7																						Che			10043007																																																
10043008	车兵体力8																						Che			10043008																																																
10043009	车兵体力9																						Che			10043009																																																
10043010	车兵体力10																						Che			10043010																																																
10043011	车兵体力11																						Che			10043011																																																
10043012	车兵体力12																						Che			10043012																																																
10043013	车兵体力13																						Che			10043013																																																
10043014	车兵体力14																						Che			10043014																																																
10043015	车兵体力15																						Che			10043015																																																
10043016	车兵体力16																						Che			10043016																																																
10043017	车兵体力17																						Che			10043017																																																
10043018	车兵体力18																						Che			10043018																																																
10043019	车兵体力19																						Che			10043019																																																
10043020	车兵体力20																						Che			10043020																																																
10043021	车兵体力21																						Che			10043021																																																
10043022	车兵体力22																						Che			10043022																																																
10043023	车兵体力23																						Che			10043023																																																
10043024	车兵体力24																						Che			10043024																																																
10043025	车兵体力25																						Che			10043025																																																
																																																																										
10044001	车兵敏捷1																						Che			10044001																																																
10044002	车兵敏捷2																						Che			10044002																																																
10044003	车兵敏捷3																						Che			10044003																																																
10044004	车兵敏捷4																						Che			10044004																																																
10044005	车兵敏捷5																						Che			10044005																																																
10044006	车兵敏捷6																						Che			10044006																																																
10044007	车兵敏捷7																						Che			10044007																																																
10044008	车兵敏捷8																						Che			10044008																																																
10044009	车兵敏捷9																						Che			10044009																																																
10044010	车兵敏捷10																						Che			10044010																																																
10044011	车兵敏捷11																						Che			10044011																																																
10044012	车兵敏捷12																						Che			10044012																																																
10044013	车兵敏捷13																						Che			10044013																																																
10044014	车兵敏捷14																						Che			10044014																																																
10044015	车兵敏捷15																						Che			10044015																																																
10044016	车兵敏捷16																						Che			10044016																																																
10044017	车兵敏捷17																						Che			10044017																																																
10044018	车兵敏捷18																						Che			10044018																																																
10044019	车兵敏捷19																						Che			10044019																																																
10044020	车兵敏捷20																						Che			10044020																																																
10044021	车兵敏捷21																						Che			10044021																																																
10044022	车兵敏捷22																						Che			10044022																																																
10044023	车兵敏捷23																						Che			10044023																																																
10044024	车兵敏捷24																						Che			10044024																																																
10044025	车兵敏捷25																						Che			10044025																																																
																																																																										
10045001	车兵免伤1																						Che			10045001																																																
10045002	车兵免伤2																						Che			10045002																																																
10045003	车兵免伤3																						Che			10045003																																																
10045004	车兵免伤4																						Che			10045004																																																
10045005	车兵免伤5																						Che			10045005																																																
10045006	车兵免伤6																						Che			10045006																																																
10045007	车兵免伤7																						Che			10045007																																																
																																																																										
10051001	器械攻击1																						Xie			10051001																																																
10051002	器械攻击2																						Xie			10051002																																																
10051003	器械攻击3																						Xie			10051003																																																
10051004	器械攻击4																						Xie			10051004																																																
10051005	器械攻击5																						Xie			10051005																																																
10051006	器械攻击6																						Xie			10051006																																																
10051007	器械攻击7																						Xie			10051007																																																
10051008	器械攻击8																						Xie			10051008																																																
10051009	器械攻击9																						Xie			10051009																																																
10051010	器械攻击10																						Xie			10051010																																																
10051011	器械攻击11																						Xie			10051011																																																
10051012	器械攻击12																						Xie			10051012																																																
10051013	器械攻击13																						Xie			10051013																																																
10051014	器械攻击14																						Xie			10051014																																																
10051015	器械攻击15																						Xie			10051015																																																
10051016	器械攻击16																						Xie			10051016																																																
10051017	器械攻击17																						Xie			10051017																																																
10051018	器械攻击18																						Xie			10051018																																																
10051019	器械攻击19																						Xie			10051019																																																
10051020	器械攻击20																						Xie			10051020																																																
10051021	器械攻击21																						Xie			10051021																																																
10051022	器械攻击22																						Xie			10051022																																																
10051023	器械攻击23																						Xie			10051023																																																
10051024	器械攻击24																						Xie			10051024																																																
10051025	器械攻击25																						Xie			10051025																																																
																																																																										
10052001	器械防御1																						Xie			10052001																																																
10052002	器械防御2																						Xie			10052002																																																
10052003	器械防御3																						Xie			10052003																																																
10052004	器械防御4																						Xie			10052004																																																
10052005	器械防御5																						Xie			10052005																																																
10052006	器械防御6																						Xie			10052006																																																
10052007	器械防御7																						Xie			10052007																																																
10052008	器械防御8																						Xie			10052008																																																
10052009	器械防御9																						Xie			10052009																																																
10052010	器械防御10																						Xie			10052010																																																
10052011	器械防御11																						Xie			10052011																																																
10052012	器械防御12																						Xie			10052012																																																
10052013	器械防御13																						Xie			10052013																																																
10052014	器械防御14																						Xie			10052014																																																
10052015	器械防御15																						Xie			10052015																																																
10052016	器械防御16																						Xie			10052016																																																
10052017	器械防御17																						Xie			10052017																																																
10052018	器械防御18																						Xie			10052018																																																
10052019	器械防御19																						Xie			10052019																																																
10052020	器械防御20																						Xie			10052020																																																
10052021	器械防御21																						Xie			10052021																																																
10052022	器械防御22																						Xie			10052022																																																
10052023	器械防御23																						Xie			10052023																																																
10052024	器械防御24																						Xie			10052024																																																
10052025	器械防御25																						Xie			10052025																																																
																																																																										
10053001	器械体力1																						Xie			10053001																																																
10053002	器械体力2																						Xie			10053002																																																
10053003	器械体力3																						Xie			10053003																																																
10053004	器械体力4																						Xie			10053004																																																
10053005	器械体力5																						Xie			10053005																																																
10053006	器械体力6																						Xie			10053006																																																
10053007	器械体力7																						Xie			10053007																																																
10053008	器械体力8																						Xie			10053008																																																
10053009	器械体力9																						Xie			10053009																																																
10053010	器械体力10																						Xie			10053010																																																
10053011	器械体力11																						Xie			10053011																																																
10053012	器械体力12																						Xie			10053012																																																
10053013	器械体力13																						Xie			10053013																																																
10053014	器械体力14																						Xie			10053014																																																
10053015	器械体力15																						Xie			10053015																																																
10053016	器械体力16																						Xie			10053016																																																
10053017	器械体力17																						Xie			10053017																																																
10053018	器械体力18																						Xie			10053018																																																
10053019	器械体力19																						Xie			10053019																																																
10053020	器械体力20																						Xie			10053020																																																
10053021	器械体力21																						Xie			10053021																																																
10053022	器械体力22																						Xie			10053022																																																
10053023	器械体力23																						Xie			10053023																																																
10053024	器械体力24																						Xie			10053024																																																
10053025	器械体力25																						Xie			10053025																																																
																																																																										
10054001	器械敏捷1																						Xie			10054001																																																
10054002	器械敏捷2																						Xie			10054002																																																
10054003	器械敏捷3																						Xie			10054003																																																
10054004	器械敏捷4																						Xie			10054004																																																
10054005	器械敏捷5																						Xie			10054005																																																
10054006	器械敏捷6																						Xie			10054006																																																
10054007	器械敏捷7																						Xie			10054007																																																
10054008	器械敏捷8																						Xie			10054008																																																
10054009	器械敏捷9																						Xie			10054009																																																
10054010	器械敏捷10																						Xie			10054010																																																
10054011	器械敏捷11																						Xie			10054011																																																
10054012	器械敏捷12																						Xie			10054012																																																
10054013	器械敏捷13																						Xie			10054013																																																
10054014	器械敏捷14																						Xie			10054014																																																
10054015	器械敏捷15																						Xie			10054015																																																
10054016	器械敏捷16																						Xie			10054016																																																
10054017	器械敏捷17																						Xie			10054017																																																
10054018	器械敏捷18																						Xie			10054018																																																
10054019	器械敏捷19																						Xie			10054019																																																
10054020	器械敏捷20																						Xie			10054020																																																
10054021	器械敏捷21																						Xie			10054021																																																
10054022	器械敏捷22																						Xie			10054022																																																
10054023	器械敏捷23																						Xie			10054023																																																
10054024	器械敏捷24																						Xie			10054024																																																
10054025	器械敏捷25																						Xie			10054025																																																
																																																																										
10055001	器械伤害1																						Xie			10055001																																																
10055002	器械伤害2																						Xie			10055002																																																
10055003	器械伤害3																						Xie			10055003																																																
10055004	器械伤害4																						Xie			10055004																																																
10055005	器械伤害5																						Xie			10055005																																																
10055006	器械伤害6																						Xie			10055006																																																
10055007	器械伤害7																						Xie			10055007																																																
																																																																										
																																																																										
																																																																										
10805101	建筑科技1																																		0.1																																							
10805102	建筑科技2																																		0.2																																							
10805103	建筑科技3																																		0.3																																							
10805104	建筑科技4																																		0.4																																							
10805105	建筑科技5																																		0.5																																							
10805106	建筑科技6																																		0.6																																							
10805201	研发科技1																																			0.1																																						
10805202	研发科技2																																			0.2																																						
10805203	研发科技3																																			0.3																																						
10805204	研发科技4																																			0.4																																						
10805205	研发科技5																																			0.5																																						
10805206	研发科技6																																			0.6																																						
10805301	铜矿科技1							gold	10%																																											gold	100%																					
10805302	铜矿科技2							gold	20%																																											gold	200%																					
10805303	铜矿科技3							gold	30%																																											gold	300%																					
10805304	铜矿科技4							gold	40%																																											gold	400%																					
10805305	铜矿科技5							gold	50%																																											gold	500%																					
10805306	铜矿科技6							gold	60%																																											gold	600%																					
10805401	石料科技1							stone	10%																																											stone	100%																					
10805402	石料科技2							stone	20%																																											stone	200%																					
10805403	石料科技3							stone	30%																																											stone	300%																					
10805404	石料科技4							stone	40%																																											stone	400%																					
10805405	石料科技5							stone	50%																																											stone	500%																					
10805406	石料科技6							stone	60%																																											stone	600%																					
10805501	训练速度1											12000	600	2400				600																																																								
10805502	训练速度2											18000	900	3600				900																																																								
10805503	训练速度3											24000	1200	4800				1200																																																								
10805504	训练速度4											30000	1500	6000				1500																																																								
10805505	训练速度5											36000	1800	7200				1800																																																								
10805506	训练速度6											42000	2100	8400				2100																																																								
																																																																										
13121001	税收铜币提升1.2%。																																																						12%	1%	1%	1%														0.012		
13122001	税收铜币提升4.0%。																																																						40%	1%	1%	1%														0.04		
13123001	税收铜币提升7.5%。																																																						75%	1%	1%	1%														0.075		
13124001	税收铜币提升12.5%。																																																						125%	1%	1%	1%														0.125		
13125001	税收铜币提升25.0%。																																																						250%	1%	1%	1%														0.25		
13121002	科研速度提升1.0%。																																			0.01																																						
13122002	科研速度提升3.0%。																																			0.03																																						
13123002	科研速度提升6.0%。																																			0.06																																						
13124002	科研速度提升10.0%。																																			0.1																																						
13125002	科研速度提升20.0%。																																			0.2																																						
13121003	修炼速度提升2.0%。																																0.02																																									
13122003	修炼速度提升5.0%。																																0.05																																									
13123003	修炼速度提升10.0%。																																0.1																																									
13124003	修炼速度提升16.0%。																																0.16																																									
13125003	修炼速度提升30.0%。																																0.3																																									
13121004	仓库容量提升10000。	10000	10000	10000	10000																																																																					
13122004	仓库容量提升100000。	100000	100000	100000	100000																																																																					
13123004	仓库容量提升1000000。	1000000	1000000	1000000	1000000																																																																					
13124004	仓库容量提升10000000。	10000000	10000000	10000000	10000000																																																																					
13125004	仓库容量提升100000000。	100000000	100000000	100000000	100000000																																																																					
13121005	农场铜币提升1.2%。																																																			gold	12%																	0.012				
13122005	农场铜币提升4.0%。																																																			gold	40%																	0.04				
13123005	农场铜币提升7.5%。																																																			gold	75%																	0.075				
13124005	农场铜币提升12.5%。																																																			gold	125%																	0.125				
13125005	农场铜币提升25.0%。																																																			gold	250%																	0.25				
13121006	建造速度提升1.0%。																																		0.01																																							
13122006	建造速度提升3.0%。																																		0.03																																							
13123006	建造速度提升6.0%。																																		0.06																																							
13124006	建造速度提升10.0%。																																		0.1																																							
13125006	建造速度提升20.0%。																																		0.2																																							
13121007	科研加速提升2.0%。																																			0.02																																						
13122007	科研加速提升5.0%。																																			0.05																																						
13123007	科研加速提升10.0%。																																			0.1																																						
13124007	科研加速提升16.0%。																																			0.16																																						
13125007	科研加速提升30.0%。																																			0.3																																						
13121008	农场铜币提升1.2%。																																																			gold	12%																	0.012				
13122008	农场铜币提升4.0%。																																																			gold	40%																	0.04				
13123008	农场铜币提升7.5%。																																																			gold	75%																	0.075				
13124008	农场铜币提升12.5%。																																																			gold	125%																	0.125				
13125008	农场铜币提升25.0%。																																																			gold	250%																	0.25				
13121009	农场石料提升2.5%。																																																			stone	25%																	0.025				
13122009	农场石料提升8.0%。																																																			stone	80%																	0.08				
13123009	农场石料提升15.0%。																																																			stone	150%																	0.15				
13124009	农场石料提升25.0%。																																																			stone	250%																	0.25				
13125009	农场石料提升50.0%。																																																			stone	500%																	0.5				
13121010	建造加速提升2.0%。																																		0.02																																							
13122010	建造加速提升5.0%。																																		0.05																																							
13123010	建造加速提升10.0%。																																		0.1																																							
13124010	建造加速提升16.0%。																																		0.16																																							
13125010	建造加速提升30.0%。																																		0.3																																							
13121011	农场石料提升1.2%。																																																			stone	12%																	0.012				
13122011	农场石料提升4.0%。																																																			stone	40%																	0.04				
13123011	农场石料提升7.5%。																																																			stone	75%																	0.075				
13124011	农场石料提升12.5%。																																																			stone	125%																	0.125				
13125011	农场石料提升25.0%。																																																			stone	250%																	0.25				
13121012	税收铜币提升1.2%。																																																						12%	1%	1%	1%														0.012		
13122012	税收铜币提升4.0%。																																																						40%	1%	1%	1%														0.04		
13123012	税收铜币提升7.5%。																																																						75%	1%	1%	1%														0.075		
13124012	税收铜币提升12.5%。																																																						125%	1%	1%	1%														0.125		
13125012	税收铜币提升25.0%。																																																						250%	1%	1%	1%														0.25		
13121013	科研速度提升1.0%。																																			0.01																																						
13122013	科研速度提升3.0%。																																			0.03																																						
13123013	科研速度提升6.0%。																																			0.06																																						
13124013	科研速度提升10.0%。																																			0.1																																						
13125013	科研速度提升20.0%。																																			0.2																																						
13121014	修炼速度提升1.0%。																																0.01																																									
13122014	修炼速度提升3.0%。																																0.03																																									
13123014	修炼速度提升6.0%。																																0.06																																									
13124014	修炼速度提升10.0%。																																0.1																																									
13125014	修炼速度提升20.0%。																																0.2																																									
13121015	农场石料提升1.2%。																																																			stone	12%																	0.012				
13122015	农场石料提升4.0%。																																																			stone	40%																	0.04				
13123015	农场石料提升7.5%。																																																			stone	75%																	0.075				
13124015	农场石料提升12.5%。																																																			stone	125%																	0.125				
13125015	农场石料提升25.0%。																																																			stone	250%																	0.25				
13121016	军营每小时产出士兵提升50。												50																																																													
13122016	军营每小时产出士兵提升150。												150																																																													
13123016	军营每小时产出士兵提升300。												300																																																													
13124016	军营每小时产出士兵提升500。												500																																																													
13125016	军营每小时产出士兵提升1000。												1000																																																													
13121017	税收石料提升1.2%。																																																						1%	1%	1%	12%															0.012	
13122017	税收石料提升4.0%。																																																						1%	1%	1%	40%															0.04	
13123017	税收石料提升7.5%。																																																						1%	1%	1%	75%															0.075	
13124017	税收石料提升12.5%。																																																						1%	1%	1%	125%															0.125	
13125017	税收石料提升25.0%。																																																						1%	1%	1%	250%															0.25	
13121018	修炼速度提升1.0%。																																0.01																																									
13122018	修炼速度提升3.0%。																																0.03																																									
13123018	修炼速度提升6.0%。																																0.06																																									
13124018	修炼速度提升10.0%。																																0.1																																									
13125018	修炼速度提升20.0%。																																0.2																																									
13121019	税收铜币提升2.5%。																																																						25%	1%	1%	1%														0.025		
13122019	税收铜币提升8.0%。																																																						80%	1%	1%	1%														0.08		
13123019	税收铜币提升15.0%。																																																						150%	1%	1%	1%														0.15		
13124019	税收铜币提升25.0%。																																																						250%	1%	1%	1%														0.25		
13125019	税收铜币提升50.0%。																																																						500%	1%	1%	1%														0.5		
13121020	修炼速度提升2.0%。																																0.02																																									
13122020	修炼速度提升5.0%。																																0.05																																									
13123020	修炼速度提升10.0%。																																0.1																																									
13124020	修炼速度提升16.0%。																																0.16																																									
13125020	修炼速度提升30.0%。																																0.3																																									
13121021	农场铜币提升1.6%。																																																			gold	16%																	0.016				
13122021	农场铜币提升5.3%。																																																			gold	53%																	0.053				
13123021	农场铜币提升10.0%。																																																			gold	100%																	0.1				
13124021	农场铜币提升16.6%。																																																			gold	166%																	0.166				
13125021	农场铜币提升33.3%。																																																			gold	333%																	0.333				
13121022	税收石料提升2.5%。																																																						1%	1%	1%	25%															0.025	
13122022	税收石料提升8.0%。																																																						1%	1%	1%	80%															0.08	
13123022	税收石料提升15.0%。																																																						1%	1%	1%	150%															0.15	
13124022	税收石料提升25.0%。																																																						1%	1%	1%	250%															0.25	
13125022	税收石料提升50.0%。																																																						1%	1%	1%	500%															0.5	
13121023	修炼速度提升2.0%。																																0.02																																									
13122023	修炼速度提升5.0%。																																0.05																																									
13123023	修炼速度提升10.0%。																																0.1																																									
13124023	修炼速度提升16.0%。																																0.16																																									
13125023	修炼速度提升30.0%。																																0.3																																									
13121024	军营每小时产出士兵提升50。												50																																																													
13122024	军营每小时产出士兵提升150。												150																																																													
13123024	军营每小时产出士兵提升300。												300																																																													
13124024	军营每小时产出士兵提升500。												500																																																													
13125024	军营每小时产出士兵提升1000。												1000																																																													
13121025	建造加速提升2.0%。																																		0.02																																							
13122025	建造加速提升5.0%。																																		0.05																																							
13123025	建造加速提升10.0%。																																		0.1																																							
13124025	建造加速提升16.0%。																																		0.16																																							
13125025	建造加速提升30.0%。																																		0.3																																							
13121026	床弩攻击提升100。																																											13121026																														100
13122026	床弩攻击提升200。																																											13122026																														200
13123026	床弩攻击提升500。																																											13123026																														500
13124026	床弩攻击提升1000。																																											13124026																														1000
13125026	床弩攻击提升2000。																																											13125026																														2000
13121027	建造加速提升2.0%。																																		0.02																																							
13122027	建造加速提升5.0%。																																		0.05																																							
13123027	建造加速提升10.0%。																																		0.1																																							
13124027	建造加速提升16.0%。																																		0.16																																							
13125027	建造加速提升30.0%。																																		0.3																																							
13121028	科研加速提升2.0%。																																			0.02																																						
13122028	科研加速提升5.0%。																																			0.05																																						
13123028	科研加速提升10.0%。																																			0.1																																						
13124028	科研加速提升16.0%。																																			0.16																																						
13125028	科研加速提升30.0%。																																			0.3																																						
13121029	建造加速提升2.0%。																																		0.02																																							
13122029	建造加速提升5.0%。																																		0.05																																							
13123029	建造加速提升10.0%。																																		0.1																																							
13124029	建造加速提升16.0%。																																		0.16																																							
13125029	建造加速提升30.0%。																																		0.3																																							
13121030	科研加速提升2.0%。																																			0.02																																						
13122030	科研加速提升5.0%。																																			0.05																																						
13123030	科研加速提升10.0%。																																			0.1																																						
13124030	科研加速提升16.0%。																																			0.16																																						
13125030	科研加速提升30.0%。																																			0.3																																						
13121031	修炼速度提升2.0%。																																0.02																																									
13122031	修炼速度提升5.0%。																																0.05																																									
13123031	修炼速度提升10.0%。																																0.1																																									
13124031	修炼速度提升16.0%。																																0.16																																									
13125031	修炼速度提升30.0%。																																0.3																																									
13121032	农场铜币提升2.5%。																																																			gold	25%																	0.025				
13122032	农场铜币提升8.0%。																																																			gold	80%																	0.08				
13123032	农场铜币提升15.0%。																																																			gold	150%																	0.15				
13124032	农场铜币提升25.0%。																																																			gold	250%																	0.25				
13125032	农场铜币提升50.0%。																																																			gold	500%																	0.5				
13121033	科研加速提升2.0%。																																			0.02																																						
13122033	科研加速提升5.0%。																																			0.05																																						
13123033	科研加速提升10.0%。																																			0.1																																						
13124033	科研加速提升16.0%。																																			0.16																																						
13125033	科研加速提升30.0%。																																			0.3																																						
13121034	修炼速度提升2.0%。																																0.02																																									
13122034	修炼速度提升5.0%。																																0.05																																									
13123034	修炼速度提升10.0%。																																0.1																																									
13124034	修炼速度提升16.0%。																																0.16																																									
13125034	修炼速度提升30.0%。																																0.3																																									
13121035	税收铜币提升2.5%。																																																						25%	1%	1%	1%														0.025		
13122035	税收铜币提升8.0%。																																																						80%	1%	1%	1%														0.08		
13123035	税收铜币提升15.0%。																																																						150%	1%	1%	1%														0.15		
13124035	税收铜币提升25.0%。																																																						250%	1%	1%	1%														0.25		
13125035	税收铜币提升50.0%。																																																						500%	1%	1%	1%														0.5		
13121036	建造加速提升2.0%。																																		0.02																																							
13122036	建造加速提升5.0%。																																		0.05																																							
13123036	建造加速提升10.0%。																																		0.1																																							
13124036	建造加速提升16.0%。																																		0.16																																							
13125036	建造加速提升30.0%。																																		0.3																																							
13121037	农场石料提升1.6%。																																																			stone	16%																	0.016				
13122037	农场石料提升5.3%。																																																			stone	53%																	0.053				
13123037	农场石料提升10.0%。																																																			stone	100%																	0.1				
13124037	农场石料提升16.6%。																																																			stone	166%																	0.166				
13125037	农场石料提升33.3%。																																																			stone	333%																	0.333				
13121038	科研加速提升2.0%。																																			0.02																																						
13122038	科研加速提升5.0%。																																			0.05																																						
13123038	科研加速提升10.0%。																																			0.1																																						
13124038	科研加速提升16.0%。																																			0.16																																						
13125038	科研加速提升30.0%。																																			0.3																																						
13121039	税收石料提升1.2%。																																																						1%	1%	1%	12%															0.012	
13122039	税收石料提升4.0%。																																																						1%	1%	1%	40%															0.04	
13123039	税收石料提升7.5%。																																																						1%	1%	1%	75%															0.075	
13124039	税收石料提升12.5%。																																																						1%	1%	1%	125%															0.125	
13125039	税收石料提升25.0%。																																																						1%	1%	1%	250%															0.25	
